"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"383","You're My Boy, Blue",1802,0.05,NA,309,"Fruit / Vegetable Beer",12
"384","Last Stop IPA",1801,0.072,60,309,"American IPA",12
"385","Rollin Dirty Red Ale",1800,0.05,21,309,"Irish Red Ale",12
"386","Are Wheat There Yet?",1799,0.055,28,309,"American Pale Wheat Ale",12
"387","Insert Hop Reference",2619,0.058,NA,20,"American Pale Ale (APA)",16
"388","Manitou Amber",2468,0.053,NA,86,"American Amber / Red Ale",16
"389","Belfort",2637,0.067,NA,11,"Saison / Farmhouse Ale",16
"390","Star Runner",2636,0.06,NA,11,"Belgian Pale Ale",16
"391","Tart Side of the Barrel",2598,0.098,NA,11,"American Double / Imperial Stout",16
"392","Linnaeus Mango IPA",2597,0.06,NA,11,"American IPA",16
"393","Beasts A'Burnin'",2548,0.07,NA,11,"Rauchbier",16
"394","Verdun",2542,0.077,NA,11,"Bière de Garde",16
"395","Barrel Aged Triomphe",2541,0.065,NA,11,"Belgian IPA",16
"396","Cherry Doppelbock",2504,0.065,NA,11,"Doppelbock",16
"397","Tropical Saison",2500,0.065,NA,11,"Saison / Farmhouse Ale",16
"398","Beach Patrol",2499,0.065,NA,11,"Witbier",16
"399","Nuit Serpent",2498,0.05,NA,11,"Belgian IPA",16
"400","Paris",2481,0.09,NA,11,"Saison / Farmhouse Ale",16
"401","The Grand Army",2476,0.055,NA,11,"Belgian IPA",16
"402","Acidulated Trip",2467,0.059,NA,11,"Saison / Farmhouse Ale",16
"403","Root Stock",2466,0.066,NA,11,"Rye Beer",16
"404","Mind Games",2465,0.041,NA,11,"Dunkelweizen",16
"405","Sous Chef",2433,0.082,NA,11,"Belgian Strong Pale Ale",16
"406","Dubbelicious",2418,0.065,NA,11,"Dubbel",16
"407","Psychopomp",2416,0.062,NA,11,"Belgian Dark Ale",16
"408","Fat Paczki",2382,NA,NA,11,"Belgian Dark Ale",16
"409","Earth-Like Planets",2381,NA,NA,11,"Belgian Pale Ale",16
"410","Ski Patrol",2290,0.061,NA,11,"Witbier",16
"411","Viking Ice Hole",2241,0.063,NA,11,"Oatmeal Stout",16
"412","Rye Porter",2240,0.056,NA,11,"American Porter",16
"413","Wizard Burial Ground",2137,0.099,NA,11,"Quadrupel (Quad)",16
"414","Smoky Wheat",2101,0.051,NA,11,"Rauchbier",16
"415","BRIPA",2092,0.062,NA,11,"Belgian IPA",16
"416","Mela",2091,0.062,NA,11,"Belgian Dark Ale",16
"417","W.I.P.A Snappa",2086,0.053,NA,11,"Belgian IPA",16
"418","Pepper in the Rye",2023,0.063,NA,11,"Rye Beer",16
"419","Moe Lasses'",2006,0.064,NA,11,"American Stout",16
"420","Pumpkin Tart",1997,0.07,NA,11,"Fruit / Vegetable Beer",16
"421","Undertaker",1977,0.067,NA,11,"Belgian Dark Ale",16
"422","Undertaker (2014)",1976,0.067,NA,11,"Belgian Dark Ale",16
"423","Coq D'Or",1974,0.05,NA,11,"Belgian Pale Ale",16
"424","North French",1973,0.06,NA,11,"Bière de Garde",16
"425","Agent a Deux",1959,0.065,NA,11,"Belgian Dark Ale",16
"426","Belgian Wit",1958,0.045,NA,11,"Witbier",16
"427","Pothole Stout",1949,0.063,NA,11,"American Stout",16
"428","Tree Bucket",1947,0.093,NA,11,"Belgian IPA",16
"429","Le Flaneur Ale",1785,0.073,NA,11,"American Wild Ale",16
"430","Maize & Blueberry",1651,0.056,NA,11,"Fruit / Vegetable Beer",16
"431","Trebuchet Double IPA",1443,0.093,NA,11,"American Double / Imperial IPA",16
"432","Contemplation",1352,0.065,NA,11,"Bière de Garde",16
"433","Black Rabbit",1267,0.05,NA,11,"American Black Ale",16
"434","Zaison",1266,0.09,NA,11,"Saison / Farmhouse Ale",16
"435","Vivant Tripel",1178,0.082,NA,11,"Tripel",16
"436","Tart Side of the Moon",1136,0.098,NA,11,"Belgian Dark Ale",16
"437","Big Red Coq",1044,0.06,NA,11,"American Amber / Red Ale",16
"438","Hubris Quadrupel Anniversary Ale",1033,0.099,NA,11,"Quadrupel (Quad)",16
"439","Plow Horse Belgian Style Imperial Stout",1031,0.095,NA,11,"American Double / Imperial Stout",16
"440","Escoffier Bretta Ale",909,0.092,NA,11,"American Wild Ale",16
"441","Contemplation (2012)",873,0.065,NA,11,"Bière de Garde",16
"442","Vivant Belgian Style Imperial Stout (2012)",860,0.099,NA,11,"Russian Imperial Stout",16
"443","Big Red Coq (2012)",677,0.062,NA,11,"American Amber / Red Ale",16
"444","Zaison (2012)",671,0.09,NA,11,"Saison / Farmhouse Ale",16
"445","Vivant Tripel (2012)",670,0.092,NA,11,"Tripel",16
"446","Trebuchet Double IPA (2012)",669,0.097,NA,11,"Belgian IPA",16
"447","Kludde",627,0.085,NA,11,"Belgian Strong Dark Ale",16
"448","Farm Hand",387,0.055,NA,11,"Saison / Farmhouse Ale",16
"449","Solitude",385,0.06,NA,11,"Belgian Pale Ale",16
"450","Triomphe",384,0.065,NA,11,"Belgian IPA",16
"451","Tampa Pale Ale",1096,NA,NA,468,"American Pale Ale (APA)",12
"452","Orange Grove Wheat Ale",1095,NA,NA,468,"American Pale Wheat Ale",12
"453","Broad Brook Ale",2456,0.061,NA,90,"American Amber / Red Ale",16
"454","Northern Lights Amber Ale",921,0.05,15,494,"American Amber / Red Ale",12
"455","Polar Pale Ale",920,0.052,17,494,"American Pale Ale (APA)",12
"456","Chugach Session Ale",919,0.048,NA,494,"Cream Ale",12
"457","Fairweather IPA",648,0.061,64,494,"American IPA",12
"458","East India Pale Ale",1279,0.068,47,438,"English India Pale Ale (IPA)",16
"459","Brooklyn Summer Ale",756,0.045,NA,438,"English Pale Mild Ale",12
"460","East India Pale Ale",566,0.068,47,438,"English India Pale Ale (IPA)",12
"461","Brooklyn Summer Ale (2011)",328,0.045,NA,438,"English Pale Mild Ale",12
"462","Brooklyn Lager (16 oz.)",66,0.052,NA,438,"American Amber / Red Lager",16
"463","Brooklyn Lager (12 oz.)",65,0.052,NA,438,"American Amber / Red Lager",12
"464","Tour de Nez Belgian IPA (Current)",538,0.08,NA,531,"Belgian IPA",16
"465","Roler Bock (Current)",504,NA,NA,531,"Maibock / Helles Bock",16
"466","Black Adder IBA (Current)",383,0.073,85,531,"American Black Ale",16
"467","Very Noddy Lager (Current)",29,0.099,NA,531,"Schwarzbier",16
"468","Tule Duck Red Ale (Current)",28,0.062,42,531,"American Amber / Red Ale",16
"469","Original Orange Blossom Ale (Current)",27,0.058,35,531,"Herbed / Spiced Beer",16
"470","Black Noddy Lager (Current)",26,0.052,40,531,"Schwarzbier",16
"471","Cleveland Beer Week 2013",1627,0.053,NA,358,"Munich Helles Lager",16
"472","Painted Turtle",2552,0.045,NA,57,"American Pale Ale (APA)",12
"473","1836",2125,0.06,40,215,"American Blonde Ale",12
"474","Summer's Wit",2124,0.06,20,215,"Witbier",12
"475","More Cowbell",2123,0.09,118,215,"American Double / Imperial IPA",16
"476","Wrath of Pele",2608,0.065,NA,25,"American Brown Ale",16
"477","Black Beer'd",2607,0.068,NA,25,"American Black Ale",16
"478","Mr. Tea",2606,0.078,NA,25,"Fruit / Vegetable Beer",24
"479","Pale Alement",2478,0.055,40,25,"American Pale Ale (APA)",12
"480","Hopkick Dropkick",2471,0.099,115,25,"American Double / Imperial IPA",12
"481","Kreamed Corn",2470,0.06,NA,25,"Cream Ale",12
"482","Coconoats",2464,0.065,NA,25,"American Pale Wheat Ale",16
"483","Joey Wheat",2160,0.068,16,25,"American Pale Wheat Ale",16
"484","3:33 Black IPA",2158,0.072,86,25,"American IPA",16
"485","MCA",2072,0.068,NA,25,"American IPA",16
"486","Pale Alement",2054,0.055,40,25,"American Pale Ale (APA)",16
"487","Couch Select Lager",2196,0.05,14,198,"American Pale Lager",12
"488","Mucho Aloha Hawaiian Pale Ale",668,0.056,36,518,"American Pale Ale (APA)",12
"489","Heinnieweisse Weissebier",52,0.049,NA,557,"Hefeweizen",12
"490","Snapperhead IPA",51,0.068,NA,557,"American IPA",12
"491","Moo Thunder Stout",50,0.049,NA,557,"Milk / Sweet Stout",12
"492","Porkslap Pale Ale",49,0.043,NA,557,"American Pale Ale (APA)",12
"493","Blackbeard",2657,0.093,NA,6,"American Double / Imperial Stout",12
"494","Rye Knot",2656,0.062,NA,6,"American Brown Ale",12
"495","Dead Arm",2655,0.06,NA,6,"American Pale Ale (APA)",12
"496","32°/50° Kölsch ",2654,0.048,NA,6,"Kölsch",16
"497","HopArt",2653,0.077,NA,6,"American IPA",16
"498","Boy King",2652,0.097,NA,6,"American Double / Imperial IPA",16
"499","Gran Sport",2252,0.052,NA,183,"American Porter",16
"500","Horny Toad Cerveza",2214,0.053,25,183,"American Blonde Ale",16
"501","Native Amber",2213,0.063,35,183,"American Amber / Red Ale",16
"502","F5 IPA",1442,0.068,100,183,"American IPA",16
"503","Native Amber (2013)",170,0.063,35,183,"American Amber / Red Ale",16
"504","Horny Toad Cerveza (2013)",169,0.053,25,183,"American Blonde Ale",16
"505","Hopportunity Knocks IPA",2315,0.068,100,156,"American IPA",12
"506","Pilot Rock Porter",1808,0.06,NA,156,"American Porter",12
"507","Caldera Pale Ale",1419,0.056,55,156,"American Pale Ale (APA)",12
"508","Lawnmower Lager",878,0.039,16,156,"American Adjunct Lager",12
"509","Ashland Amber Ale (2009)",794,0.054,24,156,"American Amber / Red Ale",12
"510","Caldera IPA (2009)",793,0.061,94,156,"American IPA",12
"511","Caldera IPA (2007)",792,0.061,94,156,"American IPA",12
"512","Caldera Pale Ale (2010)",791,0.056,55,156,"American Pale Ale (APA)",12
"513","Caldera Pale Ale (2009)",790,0.056,55,156,"American Pale Ale (APA)",12
"514","Caldera Pale Ale (2005)",789,0.056,55,156,"American Pale Ale (APA)",12
"515","Caldera Pale Ale (2007)",788,0.056,55,156,"American Pale Ale (APA)",12
"516","Caldera Pale Ale (2011)",38,0.056,55,156,"American Pale Ale (APA)",12
"517","Ashland Amber Ale",37,0.054,24,156,"American Amber / Red Ale",12
"518","Caldera IPA",36,0.061,94,156,"American IPA",12
"519","Remain in Light",2257,0.05,NA,179,"American Pilsner",12
"520","Flower Child (2014)",2256,0.065,NA,179,"American IPA",12
"521","THP White (2006)",870,NA,NA,498,"Witbier",12
"522","THP Amber (2006)",869,NA,NA,498,"American Amber / Red Ale",12
"523","THP Light (2006)",868,NA,NA,498,"American Blonde Ale",12
"524","THP Dark (2006)",867,NA,NA,498,"English Dark Mild Ale",12
"525","Imperial Pumpkin Stout",2068,0.099,43,231,"Pumpkin Ale",16
"526","Dead-Eye DIPA",2067,0.09,130,231,"American Double / Imperial IPA",16
"527","Fisherman's IPA",2066,0.055,64,231,"American IPA",12
"528","Fisherman's Pils",2065,0.054,35,231,"German Pilsener",12
"529","Fisherman's Brew",2064,0.055,30,231,"American Amber / Red Ale",12
"530","Cape Cod Red",1928,0.055,35,268,"American Amber / Red Ale",16
"531","Beach Blonde",1927,0.049,10,268,"American Blonde Ale",16
"532","Dark Voyage Black IPA (2013)",2227,0.065,80,193,"American Black Ale",12
"533","Wisconsin Amber",2226,0.052,28,193,"Vienna Lager",12
"534","Lake House",2225,0.046,18,193,"Munich Helles Lager",12
"535","Ghost Ship White IPA",1954,0.056,55,193,"American IPA",12
"536","Lake House",1910,0.046,18,193,"Munich Helles Lager",16
"537","Mutiny IPA",1177,0.062,70,193,"American IPA",12
"538","Wisconsin Amber (1998)",840,0.052,NA,193,"Vienna Lager",12
"539","Island Wheat",180,0.042,NA,193,"American Pale Wheat Ale",12
"540","Wisconsin Amber (2013)",63,0.052,NA,193,"Vienna Lager",12
"541","U.S. Pale Ale",62,0.05,NA,193,"American Pale Ale (APA)",12
"542","Supper Club Lager",61,NA,NA,193,"American Pale Lager",12
"543","Carolina Lighthouse (2007)",784,0.04,NA,505,"American Blonde Ale",12
"544","Carolina Blonde (2006)",783,0.05,NA,505,"American Blonde Ale",12
"545","Carolina Blonde Light (2005)",782,0.035,NA,505,"American Blonde Ale",12
"546","Santa's Secret",2255,0.059,22,180,"Winter Warmer",16
"547","Flagship IPA",530,0.057,NA,180,"English India Pale Ale (IPA)",12
"548","Sky Blue Golden Ale",427,0.051,NA,180,"Kölsch",12
"549","Epitome",2094,0.099,100,223,"American Black Ale",16
"550","Monkey Chased the Weasel",1941,0.039,9,223,"Berliner Weissbier",16
"551","077XX",1940,0.078,80,223,"American Double / Imperial IPA",16
"552","Boat Beer",1439,0.042,35,223,"American IPA",12
"553","Granny Smith Hard Apple Cider",1465,0.069,NA,405,"Cider",16
"554","Dry Hard Apple Cider",1464,0.069,NA,405,"Cider",16
"555","Farmer Ted's Cream Ale",1744,0.056,NA,332,"Cream Ale",12
"556","Firewater India Pale Ale",1743,0.052,NA,332,"American IPA",12
"557","White Zombie Ale",1742,0.047,NA,332,"Witbier",12
"558","King Winterbolt Winter Ale",1719,0.07,NA,332,"Winter Warmer",12
"559","White Zombie Ale",638,0.047,NA,332,"Witbier",12
"560","Firewater India Pale Ale",507,0.052,NA,332,"American IPA",12
"561","Farmer Ted's Farmhouse Cream Ale",480,0.056,NA,332,"Cream Ale",12
"562","Whitecap Wit",1882,0.048,16,286,"Witbier",16
"563","Seiche Scottish Ale",1881,0.078,16,286,"Scottish Ale",16
"564","Peanut Butter Jelly Time",2446,0.058,NA,97,"American Brown Ale",12
"565","King Coconut",2106,0.054,NA,97,"American Porter",12
"566","Gone A-Rye",2600,0.085,90,30,"American Double / Imperial IPA",16
"567","Special Release",2210,NA,NA,30,"",16
"568","Dankosaurus",2052,0.068,70,30,"American IPA",16
"569","Scruffy's Smoked Alt",1584,0.051,35,30,"Smoked Beer",16
"570","Elliott's Phoned Home Pale Ale",1182,0.051,36,30,"American Pale Ale (APA)",16
"571","The Lawn Ranger",1050,0.05,18,30,"Cream Ale",16
"572","All American Blonde Ale",1219,0.05,NA,453,"American Blonde Ale",12
"573","All American Red Ale",1218,0.05,NA,453,"American Amber / Red Ale",12
"574","Main St. Virginia Ale",2377,0.05,40,123,"Altbier",12
"575","Chin Music Amber Lager",1839,0.045,24,123,"American Amber / Red Lager",12
"576","Main St. Virginia Ale",1248,0.05,40,123,"Altbier",12
"577","Ray Ray’s Pale Ale",1247,0.052,42,123,"American Pale Ale (APA)",12
"578","Chai Ale",1649,0.051,15,351,"Herbed / Spiced Beer",16
"579","Lucky Day IPA",1648,0.072,85,351,"American IPA",16
"580","Terrace Hill Double IPA",1647,0.095,99,351,"American Double / Imperial IPA",16
"581","Catch 23",1646,0.075,77,351,"American Black Ale",16
"582","Stickin' In My Rye",2057,0.07,NA,237,"Rye Beer",24
"583","Black Me Stout",2056,0.06,45,237,"American Stout",12
"584","Killer Kolsch",2055,0.05,22,237,"Kölsch",12
"585","Missile IPA",1933,0.07,65,237,"American IPA",12
"586","Enlighten",2019,0.045,NA,251,"Kölsch",16
"587","Ale Cider",2018,0.065,8,251,"Fruit / Vegetable Beer",16
"588","Pail Ale",2017,0.055,30,251,"American Pale Ale (APA)",16
"589","Englishman",2016,0.045,NA,251,"English Brown Ale",16
"590","8 Barrel",2080,0.08,69,227,"American Strong Ale",16
"591","Oktoberfest",2079,0.055,40,227,"Märzen / Oktoberfest",16
"592","IPA #11",2380,0.057,58,122,"American IPA",16
"593","Blood Orange Honey",2379,0.057,10,122,"Fruit / Vegetable Beer",16
"594","Lighthouse Amber",2354,0.052,NA,122,"Altbier",16
"595","Bay of Bengal Double IPA (2014)",2440,0.089,126,100,"American Double / Imperial IPA",12
"596","Churchkey Pilsner Style Beer",567,0.049,29,527,"American Pilsner",12
"597","First Press",1342,0.05,NA,426,"Cider",12
"598","Magic Apple",1341,0.05,NA,426,"Cider",12
"599","Cubano Espresso",2349,0.055,25,142,"Bock",12
"600","Operation Homefront",2014,0.062,65,142,"American IPA",12
"601","Wandering Pelican",2013,0.082,65,142,"American Black Ale",12
"602","Sugar Plum",2012,0.055,NA,142,"American Brown Ale",12
"603","Oktoberfest",2011,0.055,NA,142,"Märzen / Oktoberfest",12
"604","Puppy's Breath Porter",2010,0.06,NA,142,"American Porter",12
"605","Happening Now",2009,0.045,NA,142,"American IPA",12
"606","Hopped on the High Seas (Hop #529)",1726,0.07,60,142,"American IPA",12
"607","Hopped on the High Seas (Calypso)",1725,0.07,60,142,"American IPA",12
"608","Wiregrass Post-Prohibition Ale",1695,0.063,NA,142,"American Pale Ale (APA)",12
"609","Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,142,"American IPA",12
"610","Hopped on the High Seas (Citra)",1693,0.07,60,142,"American IPA",12
"611","Hopped on the High Seas (Ahtanum)",1692,0.07,60,142,"American IPA",12
"612","Gwar Beer",1369,0.055,NA,142,"American Pale Ale (APA)",12
"613","Tropical Heatwave",1243,0.052,NA,142,"American Pale Wheat Ale",16
"614","Humidor Series India Pale Ale",1142,0.075,70,142,"American IPA",12
"615","Jai Alai IPA Aged on White Oak",1141,0.075,70,142,"American IPA",12
"616","José Martí American Porter",1140,0.08,65,142,"American Porter",12
"617","Invasion Pale Ale",1139,0.05,NA,142,"American Pale Ale (APA)",12
"618","Maduro Brown Ale",1138,0.055,25,142,"English Brown Ale",12
"619","Maduro Brown Ale",571,0.055,25,142,"American Brown Ale",12
"620","Hotter Than Helles Lager",570,0.05,NA,142,"Munich Helles Lager",12
"621","Tocobaga Red Ale",569,0.072,75,142,"American Amber / Red Ale",12
"622","Jai Alai IPA",546,0.075,70,142,"American IPA",12
"623","Florida Cracker Belgian Wit",545,0.05,18,142,"Witbier",12
"624","Shark Tracker Light lager",2338,0.048,NA,146,"Light Lager",12
"625","Pumple Drumkin",1365,0.06,NA,146,"Pumpkin Ale",12
"626","Grey Lady",1094,0.045,NA,146,"Witbier",12
"627","Summer of Lager",657,0.062,NA,146,"Munich Helles Lager",12
"628","Indie Pale Ale",656,0.065,NA,146,"American IPA",12
"629","Sankaty Light Lager",359,0.038,NA,146,"Light Lager",12
"630","Whale's Tale Pale Ale",56,0.056,NA,146,"English Pale Ale",12
"631","Jacaranada Rye IPA",1772,0.067,60,321,"American IPA",16
"632","Cascadian Dark Ale",1393,0.06,75,419,"American Black Ale",12
"633","Wheat the People",893,0.044,13,419,"American Pale Wheat Ale",16
"634","Tybee Island Blonde",1407,0.047,17,416,"American Blonde Ale",12
"635","Savannah Brown Ale",1406,0.062,55,416,"American Brown Ale",12
"636","Rhode Island Blueberry",2438,0.046,11,102,"Kölsch",12
"637","Newport Storm IPA",2437,0.065,75,102,"American IPA",12
"638","Hurricane Amber Ale (2004)",751,0.052,24,102,"American Amber / Red Ale",12
"639","Hurricane Amber Ale",120,0.052,24,102,"American Amber / Red Ale",12
"640","Big Blue Van",2061,0.058,NA,233,"Fruit / Vegetable Beer",16
"641","Des Moines IPA",970,0.068,75,483,"American IPA",16
"642","Capital Gold Golden Lager",969,0.048,22,483,"German Pilsener",16
"643","Farmer John's Multi-Grain Ale",968,0.056,21,483,"American Blonde Ale",16
"644","Behemoth",2351,0.05,NA,140,"American Pilsner",12
"645","Arkansas Red",1650,0.052,NA,140,"American Amber / Red Ale",12
"646","Core Oatmeal Stout",1337,0.057,NA,140,"Oatmeal Stout",12
"647","Core ESB",1336,0.061,NA,140,"Extra Special / Strong Bitter (ESB)",12
"648","Chester's Beer (2005)",737,0.038,NA,513,"American Pale Lager",12
"649","Heiner Brau Kölsch",129,0.05,NA,554,"Kölsch",12
"650","Trigger Blonde Ale",716,0.048,NA,516,"American Blonde Ale",16
"651","Crabtree Oatmeal Stout",659,0.075,29,516,"Oatmeal Stout",16
"652","Eclipse Black IPA",556,0.077,71,516,"American Black Ale",16
"653","Neomexicanus Native",2538,0.06,46,64,"American Pale Ale (APA)",12
"654","Old Soul",2355,0.075,25,64,"Belgian Strong Pale Ale",12
"655","Snowcat Coffee Stout",1689,0.059,NA,64,"American Stout",12
"656","WinterWonderGrass Festival Ale",1163,NA,NA,64,"American Amber / Red Ale",12
"657","Boohai Red Ale",940,NA,NA,64,"American Amber / Red Ale",12
"658","Lava Lake Wit",685,0.052,15,64,"Witbier",12
"659","Mountain Livin' Pale Ale",613,0.06,NA,64,"American Pale Ale (APA)",12
"660","Crazy Mountain Amber Ale",356,0.052,25,64,"American Amber / Red Ale",12
"661","Tropicalia",2029,0.065,65,248,"American IPA",12
"662","Athena",2028,0.045,NA,248,"Berliner Weissbier",12
"663","Aviator Raspberry Blonde",2293,0.049,25,170,"American Blonde Ale",12
"664","3 Picket Porter",1105,0.055,NA,170,"American Porter",12
"665","Rusty Nail Pale Ale",1104,0.056,NA,170,"American Pale Ale (APA)",12
"666","Red Water Irish Style Red",2145,0.065,NA,213,"American Amber / Red Ale",12
"667","Mjöllnir",1804,0.066,NA,213,"Herbed / Spiced Beer",12
"668","Bear Butte Nut Brown Ale",1602,0.055,NA,213,"American Brown Ale",12
"669","Easy Livin' Summer Ale",1301,0.045,NA,213,"American Blonde Ale",12
"670","Canyon Cream Ale",542,0.055,NA,213,"Cream Ale",12
"671","Pile O'Dirt Porter",272,0.069,NA,213,"American Porter",12
"672","11th Hour IPA",271,0.06,NA,213,"American IPA",12
"673","South Ridge Amber Ale",1057,0.06,31,473,"American Amber / Red Ale",16
"674","Summertime Ale",681,0.052,23,473,"Kölsch",16
"675","Lost River Blonde Ale",1789,0.049,NA,316,"American Blonde Ale",16
"676","Monon Wheat",1788,0.054,NA,316,"Witbier",16
"677","Floyd's Folly",1787,0.08,NA,316,"Scottish Ale",16
"678","Half Court IPA",1786,0.063,NA,316,"American IPA",16
"679","Geary's Pale Ale",1763,0.045,NA,324,"English Pale Ale",12
"680","Geary's Summer Ale",1311,0.06,NA,324,"Kölsch",12
"681","Stone of Arbroath",2078,0.08,NA,228,"Scotch Ale / Wee Heavy",12
"682","The Tradition",1809,0.05,15,228,"American Blonde Ale",12
"683","El Hefe Speaks",1263,0.053,11,228,"Hefeweizen",12
"684","Penn Quarter Porter",1092,0.055,NA,228,"American Porter",12
"685","On the Wings of Armageddon",851,0.092,115,228,"American Double / Imperial IPA",12
"686","The Corruption",186,0.065,80,228,"American IPA",12
"687","The Citizen",185,0.07,NA,228,"Belgian Pale Ale",12
"688","The Public",184,0.06,NA,228,"American Pale Ale (APA)",12
"689","Dank IPA",1224,0.065,NA,452,"American IPA",16
"690","Dank IPA (2012)",964,0.065,NA,452,"American IPA",16
"691","Lift Off IPA",1623,0.072,NA,359,"American IPA",16
"692","BrewFarm Select Golden Lager",110,0.055,NA,555,"American Pale Lager",12
"693","Sprocket Blonde Ale (2006)",1735,0.05,NA,334,"American Blonde Ale",12
"694","Sprocket Pale Ale (2006)",1734,0.05,NA,334,"American Pale Ale (APA)",12
"695","Dead Armadillo Amber Ale",1746,0.063,37,331,"American Amber / Red Ale",12
"696","Neato Bandito",2371,0.06,NA,128,"Euro Pale Lager",12
"697","Oak Cliff Coffee Ale",2251,0.075,33,128,"American Brown Ale",12
"698","Dream Crusher Double IPA",2166,0.085,100,128,"American Double / Imperial IPA",12
"699","Deep Ellum Pale Ale",1827,0.06,NA,128,"American Pale Ale (APA)",12
"700","Double Brown Stout",1203,0.07,NA,128,"Baltic Porter",12
"701","Farmhouse Wit",1202,0.048,25,128,"Saison / Farmhouse Ale",16
"702","Rye Pils Session Lager",1161,0.046,NA,128,"German Pilsener",12
"703","Dallas Blonde",946,0.052,23,128,"American Blonde Ale",12
"704","Deep Ellum IPA",943,0.07,70,128,"American IPA",12
"705","Thrasher Session India Pale Ale",1886,0.045,44,284,"American IPA",12
"706","Gutch English Style Mild Ale",1885,0.05,16,284,"English Pale Mild Ale",12
"707","Chuli Stout",1213,0.059,55,454,"Irish Dry Stout",12
"708","Mother Ale",1159,0.056,46,454,"American Blonde Ale",12
"709","Twister Creek India Pale Ale",947,0.065,71,454,"American IPA",12
"710","Single Engine Red",929,0.058,46,454,"Irish Red Ale",12
"711","Incredible Pedal IPA",1944,0.07,NA,264,"American IPA",12
"712","Graham Cracker Porter",1943,0.05,NA,264,"American Porter",12
"713","Mirror Pond Pale Ale",1210,0.05,40,455,"American Pale Ale (APA)",12
"714","Weissenheimer",2550,0.052,16,58,"Hefeweizen",12
"715","Abbey's Single (2015- )",2505,0.049,22,58,"Abbey Single Ale",12
"716","Vertex IPA",2025,0.063,76,58,"American IPA",12
"717","Here Gose Nothin'",2021,0.05,12,58,"Gose",12
"718","Strawberry Blonde",2015,0.05,NA,58,"Fruit / Vegetable Beer",12
"719","Hoperation Overload",1888,0.096,85,58,"American Double / Imperial IPA",12
"720","Abbey's Single Ale (Current)",1887,0.049,22,58,"Abbey Single Ale",12
"721","Bravo Four Point",2051,0.044,45,238,"American Pale Ale (APA)",12
"722","Striped Bass Pale Ale",1201,0.052,26,238,"American Pale Ale (APA)",12
"723","Deadicated Amber",924,0.054,27,492,"American Amber / Red Ale",16
"724","Kaleidoscope Collaboration 2012",731,NA,NA,492,"American Black Ale",16
"725","California Sunshine Rye IPA",730,0.071,85,492,"American IPA",16
"726","Full Boar Scotch Ale",647,0.074,12,492,"Scotch Ale / Wee Heavy",16
"727","12 Man Pale Ale",1773,0.045,NA,320,"American Pale Ale (APA)",12
"728","Filthy Hoppin' IPA",1795,0.065,72,312,"American IPA",16
"729","Dock Street Amber Beer (1992)",944,NA,NA,489,"American Amber / Red Ale",12
"730","Dolores River Hefeweizen",524,NA,NA,532,"Hefeweizen",16
"731","Dolores River ESB",450,NA,NA,532,"Extra Special / Strong Bitter (ESB)",16
"732","Snaggletooth Double Pale Ale",449,NA,NA,532,"American Double / Imperial IPA",16
"733","Dolores River Pale Ale",448,NA,NA,532,"American Pale Ale (APA)",16
"734","Dolores River Dry Stout",447,NA,NA,532,"Irish Dry Stout",16
"735","Dolores River Mild",446,NA,NA,532,"English Dark Mild Ale",16
"736","Cranberry Blend",1246,0.049,NA,447,"Cider",12
"737","Orignal Blend",977,0.051,NA,447,"Cider",12
"738","Hop Abomination",881,0.066,100,497,"American IPA",12
"739","Apricot Blonde",880,0.051,17,497,"Fruit / Vegetable Beer",12
"740","Dry Dock Hefeweizen",872,0.043,12,497,"Hefeweizen",12
"741","Dry Dock Amber Ale",871,0.058,49,497,"American Amber / Red Ale",12
"742","Category 3 IPA",1685,0.061,64,341,"American IPA",12
"743","Dundee Summer Wheat Beer",457,0.045,18,539,"American Pale Wheat Ale",12
"744","Pumpkin Patch Ale",1590,0.05,NA,370,"Pumpkin Ale",16
"745","Crank Yanker IPA",1382,0.078,74,370,"American IPA",16
"746","River Runners Pale Ale",1110,0.06,NA,370,"American Pale Ale (APA)",16
"747","Pumpkin Patch Ale (2012)",1014,0.05,NA,370,"Pumpkin Ale",16
"748","Mountain Fairy Raspberry Wheat",911,0.055,NA,370,"Fruit / Vegetable Beer",16
"749","Boater Beer",680,0.045,NA,370,"German Pilsener",16
"750","Crank Yanker IPA (2011)",395,0.078,74,370,"American IPA",16
"751","Bleeding Buckeye Red Ale",1642,0.057,NA,353,"Extra Special / Strong Bitter (ESB)",16
"752","Dottie Seattle Lager",673,0.049,25,517,"American Amber / Red Lager",16
"753","Nut Sack Imperial Brown Ale",1107,0.07,NA,466,"American Brown Ale",12
"754","Underachiever",1039,0.05,NA,474,"American Adjunct Lager",16
"755","Lil' Brainless Raspberries",2477,0.052,NA,82,"Fruit / Vegetable Beer",12
"756","Element 29",2008,0.052,NA,82,"American Pale Ale (APA)",12
"757","Hop Syndrome",2004,0.05,NA,82,"American Pale Lager",12
"758","Escape to Colorado",2003,0.062,NA,82,"American IPA",12
"759","Little Sister India Style Session Ale",2292,0.043,60,171,"American IPA",12
"760","Country Boy IPA",1504,0.062,80,171,"American IPA",12
"761","Blonde Czich",2604,0.049,23,27,"American Blonde Ale",16
"762","White Reaper",2432,0.07,61,27,"Belgian IPA",16
